MonthCode,Year,V1,V2,V3,V4
1,1909,1909.875,720.2,0,0
2,1909,1909.9584,712.2,0,0
3,1910,1910.0416,716.2,0,0
4,1910,1910.125,707.2,0,0
5,1910,1910.2084,705.2,0,0
6,1910,1910.2916,698.2,0,0
7,1910,1910.375,697.2,0,0
8,1910,1910.4584,701.2,0,0
9,1910,1910.5416,704.2,0,0
10,1910,1910.625,699.2,0,0
11,1910,1910.7084,698.2,0,0
12,1910,1910.7916,702.2,0,0
13,1910,1910.875,,0,0
14,1910,1910.9584,,0,0
15,1911,1911.0416,717.2,0,0
16,1911,1911.125,708.2,0,0
17,1911,1911.2084,697.2,0,0
18,1911,1911.2916,695.2,0,0
19,1911,1911.375,704.2,0,0
20,1911,1911.4584,699.2,0,0
21,1911,1911.5416,706.2,0,0
22,1911,1911.625,705.2,0,0
23,1911,1911.7084,707.2,0,0
24,1911,1911.7916,707.2,0,0
25,1911,1911.875,706.2,0,0
26,1911,1911.9584,709.2,0,0
27,1912,1912.0416,723.2,0,0
28,1912,1912.125,709.2,0,0
29,1912,1912.2084,703.2,0,0
30,1912,1912.2916,701.2,0,0
31,1912,1912.375,702.2,0,0
32,1912,1912.4584,702.2,0,0
33,1912,1912.5416,702.2,0,0
34,1912,1912.625,705.2,0,0
35,1912,1912.7084,701.2,0,0
36,1912,1912.7916,707.2,0,0
37,1912,1912.875,717.2,0,0
38,1912,1912.9584,707.2,0,0
39,1913,1913.0416,712.2,0,0
40,1913,1913.125,699.2,0,0
41,1913,1913.2084,700.2,0,0
42,1913,1913.2916,705.2,0,0
43,1913,1913.375,702.2,0,0
44,1913,1913.4584,711.2,0,0
45,1913,1913.5416,710.2,0,0
46,1913,1913.625,708.2,0,0
47,1913,1913.7084,709.2,0,0
48,1913,1913.7916,702.2,0,0
49,1913,1913.875,722.2,0,0
50,1913,1913.9584,718.2,0,0
51,1914,1914.0416,741.2,0,0
52,1914,1914.125,708.2,0,0
53,1914,1914.2084,705.2,0,0
54,1914,1914.2916,706.2,0,0
55,1914,1914.375,700.2,0,0
56,1914,1914.4584,702.2,0,0
57,1914,1914.5416,705.2,0,0
58,1914,1914.625,706.2,0,0
59,1914,1914.7084,707.2,0,0
60,1914,1914.7916,721.2,0,0
61,1914,1914.875,717.6,0,0
62,1914,1914.9584,723.2,0,0
63,1915,1915.0416,725.2,0,0
64,1915,1915.125,729.2,0,0
65,1915,1915.2084,708.2,0,0
66,1915,1915.2916,709.2,0,0
67,1915,1915.375,711.2,0,0
68,1915,1915.4584,700.2,0,0
69,1915,1915.5416,704.2,0,0
70,1915,1915.625,706.2,0,0
71,1915,1915.7084,704.2,0,0
72,1915,1915.7916,703.2,0,0
73,1915,1915.875,711.2,0,0
74,1915,1915.9584,717.2,0,0
75,1916,1916.0416,712.4,11,0
76,1916,1916.125,,0,0
77,1916,1916.2084,,0,0
78,1916,1916.2916,,0,0
