,V1,V2,V3,V4
1,1911,705.2,N,0
2,1912,706.8,N,0
3,1913,708.4,N,0
4,1914,712.1,N,0
5,1915,710.7,N,0
6,1916,,N,0
7,1917,701.7,N,0
8,1918,710.7,N,0
9,1919,708.1,N,0
10,1920,706.8,N,0
11,1921,709,N,0
12,1922,704.9,N,0
13,1923,707.2,N,0
14,1924,,N,0
15,1925,,N,0
16,1926,,N,0
17,1927,,N,0
18,1928,,N,0
19,1929,,N,0
20,1930,,N,0
21,1931,,N,0
22,1932,,N,0
23,1933,,N,0
24,1934,,N,0
25,1935,,N,0
26,1936,,N,0
27,1937,,N,0
28,1938,,N,0
29,1939,,N,0
30,1940,709.1,N,0
31,1941,712.4,N,0
32,1942,,N,0
33,1943,701.3,N,0
34,1944,699.9,N,0
35,1945,702.5,N,0
36,1946,703.6,N,0
37,1947,702.9,N,0
38,1948,706.5,N,0
39,1949,701.7,N,0
40,1950,707.4,N,0
41,1951,707.6,N,0
42,1952,705.5,N,0
43,1953,706.9,N,0
44,1954,708.6,N,0
45,1955,701.7,N,0
46,1956,704,N,0
47,1957,707.2,N,0
48,1958,711.8,N,0
49,1959,705.7,N,0
50,1960,705,N,0
51,1961,707.1,N,0
52,1962,704.2,N,0
53,1963,708.1,Y,0
54,1964,705.1,N,0
55,1965,707.9,N,0
56,1966,,N,0
57,1967,708,N,0
58,1968,711.1,N,0
59,1969,711.3,N,0
60,1970,705.5,N,0
61,1971,706.6,N,0
62,1972,711.2,Y,0
63,1973,706.6,N,0
64,1974,709.3,N,0
65,1975,705.2,N,0
66,1976,707.4,N,0
67,1977,705,N,0
68,1978,706.1,N,0
69,1979,704.6,N,0
70,1980,707.4,Y,0
71,1981,708.9,N,0
72,1982,713.1,N,0
73,1983,719.5,N,0
74,1984,710.7,N,0
75,1985,701.7,N,0
76,1986,708.2,N,0
77,1987,708.2,N,0
78,1988,703,N,0
79,1989,703,N,0
80,1990,706.9,N,0
81,1991,706.5,N,0
82,1992,712.7,N,0
83,1993,708.6,N,0
84,1994,708.7,N,0
85,1995,711.8,N,0
86,1996,709.4,N,0
87,1997,716.1,Y,0
88,1998,714.3,N,0
89,1999,709.2,N,0
90,2000,706,N,0
91,2001,704.8,N,0
92,2002,707.1,N,0
93,2003,709.1,N,0
94,2004,709.6,N,0
95,2005,711.1,N,0
96,2006,711.7,N,0
97,2007,707.3,N,0
98,2008,705.8,N,0
99,2009,705.9,N,0
100,2010,715.6,N,0
101,2011,712.3,N,0
102,2012,715.8,N,0
103,2013,705.8,N,0
104,2014,715.5,N,0
105,2015,716.7,N,0
106,2016,716.8,N,0
